xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,State_S2
-0.1108398,-0.07836914,-0.4484863,0.1228168,-0.123374,-0.1073892,-9.858027,13.04218,1.11219,-9.62786,13.68266,-0.7531738,-0.2541504,0.730957,0.2961069,0.09489316,0.09139694,-13.44337,44.42174,5.323578,-13.61217,44.22313,Unknown
-0.1062012,-0.08544922,-0.4528809,0.01594663,-0.07757253,-0.1531909,-9.868828,13.0398,1.110045,-10.40896,12.97646,-0.7565918,-0.2492676,0.7248535,0.4487787,0.06435877,-0.01547329,-13.43599,44.42672,5.323361,-13.38194,44.62667,Unknown
-0.1032715,-0.07788086,-0.4606934,0.1533511,0.1972366,-0.3363969,-9.856688,13.03099,1.105336,-9.367022,12.46366,-0.7521973,-0.2497559,0.7224121,0.4029771,0.2017633,0.03032825,-13.43109,44.43176,5.323786,-13.46744,44.54023,Unknown
-0.1098633,-0.08349609,-0.4604492,0.1380839,-0.09283972,0.1521528,-9.857723,13.03333,1.107466,-10.00322,13.21214,-0.7504883,-0.2541504,0.7119141,0.3419085,-0.02724427,-0.0002061129,-13.43385,44.43862,5.323783,-13.8036,44.79343,Unknown
-0.1096191,-0.08398438,-0.4538574,0.03121376,0.1056336,0.2437558,-9.864079,13.04132,1.110878,-10.19696,13.35999,-0.75,-0.2529297,0.7226563,-0.131374,0.04909158,-0.0002061129,-13.43997,44.43869,5.32378,-13.65005,44.40876,Unknown
-0.1000977,-0.07739258,-0.4599609,-0.1519923,-0.5661222,0.3964274,-9.855614,13.01497,1.116428,-9.336521,12.11227,-0.7531738,-0.2573242,0.7277832,-0.009236574,-0.4699924,0.1066641,-13.44737,44.42937,5.325274,-13.80365,44.2952,Unknown
-0.1047363,-0.08374023,-0.4465332,-0.01458788,-0.1081069,0.06054974,-9.865643,13.01282,1.117276,-10.34704,12.9819,-0.7529297,-0.2512207,0.7412109,-0.4214504,-0.1646488,-0.0002061129,-13.45171,44.41637,5.325271,-13.37512,43.89204,Unknown
-0.1047363,-0.07788086,-0.4445801,-0.1825268,-0.2455115,0.0147481,-9.864364,13.01049,1.117483,-9.67648,13.06433,-0.75,-0.2546387,0.7324219,-0.009236574,-0.04251146,-0.0002061129,-13.45586,44.40836,5.325268,-13.65303,44.04514,Unknown
-0.1064453,-0.07592773,-0.4528809,0.3060229,-0.123374,-0.1073892,-9.847966,13.00948,1.115872,-9.269374,13.05096,-0.7353516,-0.2514648,0.7280273,0.219771,0.2017633,-0.09180916,-13.45669,44.39661,5.323891,-13.65887,43.67281,Unknown
-0.1064453,-0.07592773,-0.4455566,0.4434273,0.1514351,-0.04632068,-9.833577,13.01626,1.11527,-9.411022,13.25218,-0.7529297,-0.248291,0.7368164,0.6625191,0.2170305,4.060863,-13.44436,44.39303,5.376682,-13.26193,44.07927,Unknown
