xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,tilt_accz_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,tilt_accz_S2,State_S2
-0.1584473,0.2192383,1.097656,-0.1924427,-0.2104504,0.5036107,5.383394,3.968123,-6.830292,11.18229,8.056952,-13.84386,-0.05615234,0.1179199,-0.4558105,0.06174803,-0.001236677,0.1063511,7.280466,3.030559,-79.66676,14.40034,6.801302,-164.011,Unknown
-0.154541,0.2243652,1.097656,1.181603,0.04909158,0.5799466,5.521945,4.046558,-6.963943,11.44251,7.853799,-13.93914,-0.04370117,0.1208496,-0.4541016,-0.1214581,-0.07757253,0.07581687,7.429814,3.075071,-81.35629,14.83715,5.3132,-164.1988,Unknown
-0.1555176,0.2248535,1.087158,3.074733,-0.3325878,0.1066641,5.688125,4.120225,-7.105413,11.57097,7.974374,-14.11585,-0.05273438,0.1154785,-0.4516602,0.03121376,-0.2760458,0.1216183,7.566658,3.138587,-83.01339,14.24908,6.453752,-164.3007,Unknown
-0.1494141,0.2192383,1.078613,1.212137,-0.1188473,0.06086259,5.819852,4.190685,-7.238789,11.38356,7.730557,-13.81895,-0.04760742,0.1164551,-0.4536133,0.7182367,0.1056336,-0.0310533,7.71164,3.193354,-84.64352,14.32305,5.804465,-164.4986,Unknown
-0.1552734,0.2189941,1.087158,-1.062672,1.010924,-0.3818855,5.914427,4.280147,-7.376667,11.27762,7.970323,-13.87074,-0.04907227,0.1245117,-0.4438477,-0.04512215,0.1056336,-0.09212208,7.868345,3.252566,-86.21641,15.58001,6.07635,-163.2204,Unknown
-0.1682129,0.2243652,1.094482,-2.070305,2.049092,-0.1986794,5.994787,4.39591,-7.519469,11.45407,8.562183,-14.37075,-0.05273438,0.1235352,-0.4450684,0.0,-0.3676488,0.5185649,8.01918,3.312376,-87.74857,15.41014,6.513238,-163.2064,Unknown
-0.1638184,0.2258301,1.10083,-1.413817,-0.02724427,0.7478855,6.083512,4.473471,-7.642514,11.4702,8.294018,-14.2214,-0.05444336,0.1218262,-0.4519043,0.0,0.5483816,-0.1989923,8.158476,3.386351,-89.26731,14.98393,6.634977,-163.5492,Unknown
-0.1589355,0.2250977,1.083252,-0.4977863,-0.4852595,-0.6261602,6.187371,4.540839,-7.783693,11.61794,8.174734,-14.27196,-0.04931641,0.126709,-0.4406738,0.2144198,-0.1691756,-0.01578617,8.317405,3.438913,-90.73925,15.94733,6.138768,-162.8526,Unknown
-0.1682129,0.2246094,1.09375,0.4182443,0.873519,-0.06127481,6.299242,4.634207,-7.916712,11.4735,8.567232,-14.38958,-0.05566406,0.1208496,-0.4445801,0.0,-0.550855,0.2284887,8.452952,3.49982,-92.18788,15.09477,6.889179,-163.3387,Unknown
-0.1618652,0.2207031,1.092773,0.7846565,-0.2867863,0.6410153,6.410754,4.70253,-8.030177,11.29815,8.261146,-14.06111,-0.03662109,0.1157227,-0.4489746,0.9319771,0.6247175,-0.168458,8.584829,3.528717,-93.64387,14.40749,4.516109,-164.8719,Unknown
-0.1625977,0.2226563,1.107178,0.3419085,0.2475649,-0.4429542,6.512291,4.775733,-8.155315,11.25309,8.192876,-13.98322,-0.04931641,0.1186523,-0.4553223,0.3823588,-0.2302443,0.2742901,8.709244,3.574426,-95.05177,14.52454,5.983367,-164.2408,Unknown
-0.154541,0.2329102,1.087402,0.5861833,-0.3936565,0.1219313,6.630116,4.832664,-8.278732,11.9727,7.91158,-14.41582,-0.05175781,0.1225586,-0.4504395,0.1380839,0.2735725,-0.0005190372,8.839474,3.633226,-96.42165,15.12603,6.32679,-163.5452,Unknown
-0.1633301,0.2160645,1.093506,-0.3145801,0.4155039,0.2135344,6.714347,4.908436,-8.38846,11.05744,8.336267,-13.91166,-0.04858398,0.121582,-0.4587402,-0.3657329,-0.2760458,0.259023,8.952611,3.673407,-97.77083,14.76514,5.845172,-164.0706,Unknown
-0.1633301,0.2268066,1.095947,-0.6046565,0.3239008,-0.1528779,6.802533,4.98109,-8.509078,11.56806,8.303049,-14.30699,-0.05273438,0.1181641,-0.453125,0.7945726,0.4567786,-0.3974657,9.0749,3.73471,-99.1021,14.52202,6.425191,-164.0624,Unknown
-0.1601563,0.2294922,1.103271,0.9678626,-0.2715191,0.1066641,6.912402,5.03952,-8.622097,11.63202,8.08886,-14.23321,-0.04980469,0.1230469,-0.4399414,-0.5794735,-0.6729923,0.4269619,9.195511,3.774563,-100.378,15.53136,6.222017,-163.2098,Unknown
-0.1645508,0.2250977,1.076416,0.0,-0.5157939,0.183,7.007743,5.101351,-8.737413,11.67946,8.510166,-14.52242,-0.04589844,0.1196289,-0.4519043,0.5197632,0.7315878,0.1368854,9.313827,3.821261,-101.6519,14.75476,5.607595,-164.17,Unknown
-0.04956055,0.125,-0.4421387,0.3823588,-0.123374,-0.1837251,13.3226,2.690332,-105.2558,15.69309,6.156399,-163.084,-0.1572266,0.2275391,1.089111,0.0,-0.1646488,0.2593359,7.279331,5.963476,-7.253094,11.68287,8.043279,-14.24886,Unknown
-0.05322266,0.1188965,-0.4526367,-0.1061909,0.05983204,0.07581687,13.34712,2.767108,-106.4285,14.62133,6.488121,-163.9446,-0.1552734,0.2321777,1.095459,0.4945802,0.171229,-0.01547329,7.377559,6.004445,-7.394327,11.85144,7.894442,-14.30418,Unknown
-0.04418945,0.1186523,-0.4543457,0.6571679,0.1056336,0.1063511,13.38124,2.820837,-107.587,14.57011,5.375905,-164.4283,-0.157959,0.2282715,1.085205,-0.1008396,0.5071069,-0.1528779,7.463696,6.053944,-7.535659,11.75851,8.10666,-14.34855,Unknown
-0.04492188,0.119873,-0.4389648,-0.6558094,0.01403052,0.1368854,13.40794,2.877387,-108.7081,15.19831,5.638036,-163.7419,-0.1542969,0.2268066,1.091309,-0.2535114,0.07962596,-0.1070763,7.543259,6.091661,-7.668715,11.62819,7.881311,-14.10975,Unknown
-0.04760742,0.1201172,-0.4458008,0.2449541,0.04456491,-0.0310533,13.44335,2.938238,-109.8111,14.99833,5.887158,-163.8367,-0.1516113,0.220459,1.095703,-1.093206,0.5376411,-0.1070763,7.601756,6.132233,-7.791364,11.2716,7.725046,-13.72251,Unknown
-0.0480957,0.1203613,-0.4455566,0.2754886,0.3804427,0.182687,13.47893,3.003679,-110.888,15.03354,5.949311,-163.78,-0.1569824,0.2216797,1.098633,-1.215344,0.3086336,0.1066641,7.658967,6.173289,-7.911828,11.2961,7.973317,-13.88774,Unknown
-0.05371094,0.119873,-0.4521484,0.03121376,-0.3371145,0.0147481,13.5048,3.069654,-111.946,14.74945,6.550225,-163.8006,-0.1503906,0.2329102,1.081787,-0.4214504,0.5223741,-0.01547329,7.740353,6.212291,-8.04131,12.03803,7.739439,-14.37459,Unknown
-0.04931641,0.1237793,-0.4501953,-0.2130611,-0.0470382,0.0147481,13.5373,3.12816,-112.9771,15.28623,6.0295,-163.5131,-0.1518555,0.2275391,1.089844,-0.3756489,0.9956565,-0.7482977,7.813687,6.25802,-8.173295,11.68317,7.766981,-14.09052,Unknown
-0.04956055,0.1291504,-0.4587402,0.7029693,-0.1386412,-0.0005190372,13.58963,3.182299,-113.982,15.63714,5.937046,-163.2193,-0.1608887,0.2211914,1.079102,-0.2382443,0.0,0.0,7.883123,6.299055,-8.29429,11.46061,8.309761,-14.223,Unknown
-0.0300293,0.1186523,-0.4538574,-0.4420686,0.487313,0.2284887,13.60375,3.19907,-114.9971,14.62039,3.66269,-164.9079,-0.1694336,0.2185059,1.074219,-0.9558016,0.6597786,-0.2597481,7.938628,6.358498,-8.42091,11.36089,8.786233,-14.43442,Unknown
-0.05639648,0.1171875,-0.4438477,0.3976259,0.9453281,-0.2295268,13.63145,3.289989,-115.9742,14.67724,7.003852,-163.6689,-0.1481934,0.2253418,1.123779,-0.1161069,-3.905107,3.312771,8.002912,6.317441,-8.470459,11.24382,7.367283,-13.49558,Unknown
-0.05517578,0.1347656,-0.4423828,1.466328,-0.382916,-0.6264734,13.71533,3.355012,-116.8989,16.81973,6.803835,-161.7795,-0.1479492,0.2424316,1.080322,1.838092,-2.393656,2.381473,8.118768,6.310473,-8.562965,12.53478,7.611113,-14.72944,Unknown
-0.06469727,0.1164551,-0.451416,-2.06039,2.99113,0.5490992,13.69725,3.489899,-117.824,14.32534,7.90088,-163.5578,-0.1376953,0.230957,1.083496,3.410611,-1.615031,0.4578092,8.245323,6.302225,-8.663724,11.93978,7.085067,-13.93739,Unknown
-0.04907227,0.1203613,-0.4501953,1.802206,1.189603,-0.3058627,13.74747,3.557814,-118.7499,14.88394,6.011302,-163.8955,-0.1621094,0.2333984,1.085693,0.4182443,1.377336,0.0,8.326633,6.362533,-8.783804,12.00344,8.305319,-14.66774,Unknown
-0.04272461,0.1223145,-0.449707,-0.9458857,-0.291313,0.4727633,13.76163,3.587134,-119.6465,15.15057,5.23795,-163.9282,-0.157959,0.2265625,1.101074,0.0,1.89642,-0.7024961,8.390351,6.423131,-8.900083,11.51251,7.998558,-14.08142,Unknown
-0.05004883,0.1162109,-0.458252,0.01594663,0.07509923,-0.4432673,13.7696,3.637285,-120.5509,14.14927,6.043149,-164.5644,-0.1538086,0.2307129,1.089844,0.03656495,-1.019611,0.8547558,8.459821,6.437901,-8.995845,11.83872,7.861083,-14.27456,Unknown
