xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,tilt_accz_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,tilt_accz_S2,State_S2
-0.4462891,-0.796875,0.5476074,0.03656495,2.675046,0.0,-24.1583,12.48837,-29.38447,-48.44287,24.77662,-59.05444,-0.2255859,-0.2348633,-0.3364258,0.8251068,1.769756,1.587267,-15.36385,14.66656,-68.43827,-30.10633,28.80253,-135.9322,Unknown
-0.4482422,-0.800293,0.5546875,-0.1161069,2.522374,-0.9925726,-24.64263,12.76758,-29.98716,-48.29495,24.71832,-58.83808,-0.2199707,-0.2358398,-0.3359375,0.0,1.861359,1.831542,-15.66511,14.96434,-69.76595,-30.42683,28.18763,-136.169,Unknown
-0.447998,-0.7956543,0.5458984,-0.1161069,2.201763,-1.145244,-25.11966,13.04269,-30.58679,-48.40897,24.90474,-59.12708,-0.2185059,-0.2375488,-0.3442383,1.420527,2.075099,1.281924,-15.93683,15.24521,-71.08994,-30.22556,27.58411,-136.8443,Unknown
-0.4440918,-0.7978516,0.5480957,-0.05503809,2.415504,-1.450588,-25.58838,13.30787,-31.17547,-48.51825,24.64491,-59.02586,-0.2214355,-0.2407227,-0.3366699,1.313656,1.433878,1.281924,-16.21585,15.52434,-72.36585,-30.85322,28.14801,-135.8278,Unknown
-0.4526367,-0.7973633,0.5507813,0.128168,2.186496,-1.267382,-26.03875,13.57457,-31.75072,-48.20062,25.0359,-59.00622,-0.2202148,-0.2329102,-0.3330078,1.451061,1.69342,1.022382,-16.4768,15.80615,-73.62638,-30.25889,28.45324,-136.0935,Unknown
-0.4465332,-0.7983398,0.5419922,-0.5130534,1.636878,-1.343718,-26.49829,13.8222,-32.32119,-48.66414,24.83278,-59.35269,-0.2260742,-0.2392578,-0.3325195,1.542664,1.265939,0.6407022,-16.73966,16.0865,-74.85023,-30.75396,28.89303,-135.2899,Unknown
-0.440918,-0.7949219,0.5507813,-0.07030535,0.9040535,-1.297916,-26.93755,14.04923,-32.86961,-48.40957,24.50933,-58.78793,-0.2263184,-0.2416992,-0.3405762,0.9930458,0.5178473,0.7323053,-17.002,16.34146,-76.05859,-30.5862,28.45404,-135.8068,Unknown
-0.4492188,-0.8061523,0.5524902,-0.833664,1.08726,-1.435321,-27.38198,14.27794,-33.41516,-48.54604,24.68588,-59.09236,-0.2243652,-0.244873,-0.3364258,0.9472442,0.7773893,0.5185649,-17.2729,16.59197,-77.23769,-31.19716,28.33358,-135.3692,Unknown
-0.449707,-0.8044434,0.5566406,-0.5283206,1.377336,-1.236847,-27.80848,14.50505,-33.9412,-48.34496,24.68845,-58.86856,-0.2270508,-0.239502,-0.3344727,0.7335038,0.2735725,0.5643663,-17.52955,16.84206,-78.3923,-30.64458,28.89541,-135.3839,Unknown
-0.4423828,-0.8081055,0.5493164,-0.4367175,0.7666489,-0.946771,-28.23645,14.71338,-34.46018,-48.88604,24.35802,-59.19404,-0.2341309,-0.2419434,-0.3349609,0.8709083,0.2583054,0.6559694,-17.77954,17.0995,-79.51253,-30.62627,29.53704,-134.8533,Unknown
-0.4274902,-0.8015137,0.548584,0.3571756,1.346802,-0.6414275,-28.64785,14.91271,-34.95721,-49.05156,23.75595,-58.87188,-0.2270508,-0.2412109,-0.3283691,0.7945726,0.02929771,0.8086412,-18.03585,17.3405,-80.60616,-31.14046,29.12914,-134.7487,Unknown
-0.4440918,-0.8049316,0.5524902,0.3571756,1.942221,-0.7482977,-29.04263,15.13029,-35.44823,-48.63191,24.45949,-58.99484,-0.2333984,-0.2380371,-0.3359375,0.7335038,0.8231909,1.572,-18.26827,17.59675,-81.67532,-30.19575,29.54814,-135.2197,Unknown
-0.4382324,-0.8088379,0.543457,0.5709161,1.972756,-0.8399009,-29.43742,15.34097,-35.94016,-49.2014,24.21441,-59.42707,-0.2260742,-0.2421875,-0.333252,0.0,0.0,1.08345,-18.52337,17.81995,-82.72924,-31.02316,28.75693,-135.1677,Unknown
-0.4384766,-0.793457,0.5515137,0.7846565,1.820084,-1.099443,-30.18073,15.74839,-36.85839,-48.39543,24.40699,-58.68516,-0.2333984,-0.2446289,-0.3342285,0.9930458,0.8231909,1.220855,-18.05615,19.04437,-83.62388,-30.96739,29.4016,-134.6693,Unknown
-0.4404297,-0.7927246,0.5583496,0.5861833,1.804817,-1.267382,-29.98141,17.63943,-38.49483,-48.1049,24.42889,-58.37951,-0.2294922,-0.2380371,-0.3364258,1.573198,2.029298,-2.290596,-18.26723,19.28946,-84.71071,-30.3065,29.1115,-135.4962,Unknown
-0.440918,-0.7868652,0.5791016,-2.390916,0.4765725,-1.679595,-30.37795,17.78271,-38.90711,-47.23114,24.2897,-57.29813,-0.2302246,-0.2421875,-0.3310547,2.031214,2.243038,-2.580672,-18.49182,19.52273,-85.7491,-30.98934,29.30418,-134.7331,Unknown
-0.4404297,-0.8010254,0.5620117,-2.971068,2.00329,-1.92387,-30.7798,17.94115,-39.32558,-48.28644,24.23243,-58.41638,-0.2233887,-0.2443848,-0.326416,2.489229,3.58655,-2.04632,-18.72203,19.75579,-86.75403,-31.71005,28.71562,-134.5919,Unknown
-0.4230957,-0.8012695,0.5559082,-3.01687,1.652145,-1.664328,-31.18391,18.07406,-39.73131,-48.91586,23.4533,-58.47055,-0.2224121,-0.2416992,-0.3408203,1.924343,6.899527,-2.04632,-18.93531,20.01587,-87.76819,-30.70597,28.02684,-136.0581,Unknown
-0.4396973,-0.8054199,0.5742188,-3.734427,2.308634,-1.694863,-31.57302,18.22357,-40.1192,-48.07764,23.966,-57.96305,-0.2211914,-0.2460938,-0.3325195,2.092282,3.90716,-1.786778,-19.15868,20.23565,-88.74191,-31.6417,28.13305,-135.1408,Unknown
-0.4489746,-0.8078613,0.557373,-3.39855,2.49184,-1.725397,-31.96074,18.38736,-40.52032,-48.46119,24.58154,-58.90744,-0.2233887,-0.2495117,-0.331543,2.397626,3.632351,-1.985252,-19.38199,20.4467,-89.68853,-31.96928,28.2963,-134.7113,Unknown
-0.4328613,-0.7990723,0.5771484,-2.680992,2.415504,-1.679595,-32.31677,18.52692,-40.88459,-47.92297,23.70811,-57.58123,-0.2224121,-0.2485352,-0.3395996,2.000679,6.899527,-2.137924,-19.59447,20.69633,-90.63653,-31.47628,27.85684,-135.5173,Unknown
-0.4348145,-0.7956543,0.5615234,-3.245878,2.247565,-1.755931,-32.68312,18.67063,-41.25731,-48.24827,24.0604,-58.23026,-0.2241211,-0.246582,-0.3337402,1.954878,2.746855,-2.428,-19.80623,20.88757,-91.55801,-31.52376,28.37407,-135.045,Unknown
-0.4377441,-0.8005371,0.5371094,-3.71916,2.278099,-1.618527,-33.06293,18.81691,-41.64468,-49.12249,24.42181,-59.51572,-0.2219238,-0.2434082,-0.3366699,1.298389,3.082733,-1.695176,-20.01336,21.07734,-92.46429,-31.11693,28.11042,-135.6262,Unknown
-0.440918,-0.8120117,0.5446777,-3.871832,2.400237,-1.618527,-33.4427,18.9613,-42.02521,-49.20554,24.2726,-59.48152,-0.2214355,-0.2458496,-0.3405762,2.031214,3.830824,-2.153191,-20.20886,21.2643,-93.36111,-31.18201,27.79714,-135.8281,Unknown
-0.4436035,-0.8051758,0.5498047,-2.940534,2.583443,-1.587992,-33.78893,19.10682,-42.38884,-48.7368,24.46485,-59.11736,-0.2185059,-0.251709,-0.3322754,1.954878,3.418611,-1.817313,-20.42449,21.43917,-94.21703,-32.33131,27.66275,-134.9101,Unknown
-0.4387207,-0.8012695,0.5578613,-2.696259,2.247565,-1.557458,-34.11949,19.23945,-42.73421,-48.46775,24.19685,-58.58859,-0.223877,-0.2502441,-0.3342285,2.031214,3.769756,-1.61884,-20.62383,21.6298,-95.05384,-31.88425,28.19996,-134.868,Unknown
-0.4301758,-0.8000488,0.559082,-2.42145,2.354435,-1.343718,-34.44463,19.36497,-43.06705,-48.5965,23.78484,-58.3885,-0.2260742,-0.25,-0.3400879,1.374725,3.067466,-1.282962,-20.82198,21.80277,-95.87549,-31.47429,28.17381,-135.2562,Unknown
-0.4343262,-0.8029785,0.5671387,-2.528321,2.339168,-1.374252,-34.75729,19.48649,-43.38756,-48.34319,23.83619,-58.14983,-0.2209473,-0.2438965,-0.333252,1.389992,3.90716,-1.405099,-21.01275,21.9871,-96.68583,-31.38237,28.14781,-135.3596,Unknown
-0.4309082,-0.8049316,0.552002,-2.772595,2.354435,-1.313183,-35.08244,19.60779,-43.71597,-48.97728,23.82116,-58.84316,-0.2058105,-0.2495117,-0.3388672,1.710603,4.166702,-1.481435,-21.2127,22.12577,-97.49912,-32.18353,26.06203,-136.3343,Unknown
-0.4367676,-0.8046875,0.53125,-2.436718,2.827718,-1.22158,-35.40383,19.74181,-44.05594,-49.48039,24.36901,-59.87627,-0.2143555,-0.2507324,-0.3359375,1.756404,4.273572,-1.069221,-21.4079,22.28355,-98.27425,-32.17772,27.08319,-135.522,Unknown
