xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,tilt_accz_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,tilt_accz_S2,State_S2
-0.4780273,-0.8464355,0.3520508,-0.03977096,-2.576863,1.938725,-25.58589,12.6372,-33.26394,-54.95486,27.53973,-70.09174,-0.1291504,-0.2421875,-0.3850098,-2.671076,-3.833298,-0.8402138,-15.61303,5.628977,-68.4197,-30.81113,15.85144,-144.5151,Unknown
-0.4799805,-0.8444824,0.3435059,-0.650458,-2.179916,2.198267,-26.18471,12.90773,-33.97684,-55.0491,27.76606,-70.5246,-0.1289063,-0.2392578,-0.392334,-2.610008,-3.39055,0.0,-15.94087,5.77995,-69.95709,-30.08634,15.66966,-145.2892,Unknown
-0.482666,-0.8603516,0.3366699,-0.7267939,-2.10358,1.999794,-26.78425,13.17034,-34.69103,-55.62772,27.58412,-71.1563,-0.1254883,-0.2453613,-0.3947754,-1.877183,-2.672992,0.0,-16.26058,5.929844,-71.45958,-30.63896,15.10833,-145.0814,Unknown
-0.4916992,-0.8552246,0.342041,-0.4367175,-1.553962,1.648649,-27.35444,13.4475,-35.39214,-54.9941,28.09441,-70.8774,-0.1269531,-0.2446289,-0.3964844,-1.388634,-2.001237,-0.9623513,-16.56456,6.086692,-72.94844,-30.43881,15.24313,-145.1956,Unknown
-0.4968262,-0.8632813,0.3261719,-0.299313,-1.050145,1.404374,-27.92084,13.72904,-36.10101,-55.45449,28.29641,-71.86796,-0.123291,-0.2490234,-0.3969727,-1.144359,-1.909634,-0.7486105,-16.86747,6.233564,-74.39992,-30.9249,14.74028,-145.0088,Unknown
-0.4777832,-0.8642578,0.3303223,0.1434351,-0.5615954,1.48071,-28.48237,13.99298,-36.78878,-56.09565,27.3115,-71.50528,-0.1245117,-0.2402344,-0.4038086,-1.281764,-1.543221,-0.07685494,-17.14133,6.383046,-75.83654,-29.61863,14.84192,-146.1747,Unknown
-0.4848633,-0.8608398,0.3259277,0.128168,0.07962596,1.69445,-29.02757,14.26986,-37.46295,-55.83639,27.77817,-71.74293,-0.1401367,-0.2456055,-0.3937988,-1.495504,-1.054672,0.2895572,-17.42778,6.576944,-77.20222,-30.43793,16.80149,-144.3192,Unknown
-0.4824219,-0.8620605,0.331543,0.5709161,0.4765725,1.755519,-29.55563,14.54258,-38.11855,-55.82234,27.57887,-71.44746,-0.121582,-0.2438965,-0.3876953,-1.19016,-0.7645955,0.3658931,-17.71622,6.731486,-78.55072,-30.97505,14.86602,-144.8956,Unknown
-0.4775391,-0.8552246,0.324707,0.6625191,0.7055801,1.572313,-30.0742,14.81341,-38.76626,-55.97148,27.56544,-71.65978,-0.1208496,-0.2453613,-0.3884277,-1.235962,-0.4592519,0.7170382,-18.00079,6.885302,-79.86685,-31.09669,14.7373,-144.849,Unknown
-0.4804688,-0.8601074,0.3305664,0.4945802,0.9345879,1.007427,-30.58314,15.08074,-39.40615,-55.86049,27.5389,-71.45188,-0.1252441,-0.2416992,-0.3925781,-1.08329,-0.031771,0.610168,-18.26457,7.051103,-81.16578,-30.39356,15.1987,-145.2618,Unknown
