sensor-1-1,sensor-1-2,sensor-1-3,sensor-1-4,sensor-1-5,sensor-1-6,sensor-1-7,sensor-1-8,sensor-1-9,sensor-1-10,sensor-1-11,sensor-1-12,sensor-2-1,sensor-2-2,sensor-2-3,sensor-2-4,sensor-2-5,sensor-2-6,sensor-2-7,sensor-2-8,sensor-2-9,sensor-2-10,sensor-2-11,sensor-2-12,sensor-3-1,sensor-3-2,sensor-3-3,sensor-3-4,sensor-3-5,sensor-3-6,sensor-3-7,sensor-3-8,sensor-3-9,sensor-3-10,sensor-3-11,sensor-3-12,posture
-0.4528809,-0.8527832,-0.2382813,1.051451,-0.8014045,0.1981683,-57.25483,26.3213,-1.340826,-59.03272,27.08843,0.019,-0.204834,0.5957031,0.904541,0.1756335,-0.3581359,4.402687,32.46847,10.61575,0.6795776,32.7129,10.70942,0.019,0.4001465,0.2497559,0.2612305,-0.04644299,0.349741,-0.2392664,27.29202,-47.85824,-0.141243,27.59361,-47.9116,0.019,NEUTRAL
-0.4555664,-0.8508301,-0.2333984,1.127787,-1.045679,0.1218324,-57.26921,26.32264,-1.338633,-58.96813,27.31009,0.018,-0.2092285,0.5991211,0.9157715,0.02296174,-0.2359985,0.4179543,32.47009,10.61575,0.6871008,32.52937,10.82383,0.018,0.4023438,0.234375,0.2570801,-0.1838477,0.1207333,-0.3156023,27.26584,-47.88199,-0.1469238,26.14531,-49.15205,0.018,NEUTRAL
-0.4443359,-0.8452148,-0.2412109,1.005649,-0.6334655,-0.000305057,-57.28835,26.32136,-1.338639,-59.11321,26.81772,0.018,-0.2062988,0.5993652,0.8930664,-0.03810692,-0.5108077,0.2042138,32.48364,10.61158,0.6907766,33.18114,10.85791,0.018,0.3986816,0.2492676,0.2531738,-0.04644299,0.5176799,-0.04079294,27.27621,-47.88109,-0.1476581,27.82515,-48.29374,0.018,NEUTRAL
-0.4445801,-0.848877,-0.244873,1.143054,-0.4807939,-0.07664084,-57.3049,26.3207,-1.340018,-59.12412,26.71194,0.018,-0.2121582,0.5957031,0.911377,0.007694602,-0.5260749,0.3721527,32.48373,10.61059,0.6974753,32.48117,11.02628,0.018,0.3999023,0.2443848,0.251709,-0.1991148,0.3955425,-0.4224725,27.27412,-47.89129,-0.1552626,27.34754,-48.73991,0.018,NEUTRAL
-0.4533691,-0.8481445,-0.2412109,1.387329,-0.6945343,-0.259847,-57.30908,26.32555,-1.344955,-58.80553,27.21012,0.019,-0.2097168,0.5993652,0.9091797,-0.0686413,-0.7703497,0.6011603,32.48708,10.60205,0.7088974,32.71546,10.90076,0.019,0.394043,0.2480469,0.2543945,-0.1227789,0.3039395,-0.4224725,27.2838,-47.88699,-0.1632895,27.8723,-47.95905,0.019,NEUTRAL
-0.4528809,-0.8457031,-0.2355957,1.402596,-0.419725,-0.3056486,-57.31582,26.33739,-1.350457,-58.88334,27.28761,0.018,-0.201416,0.5888672,0.9035645,0.05349612,-0.709281,0.5553588,32.4875,10.58907,0.7188938,32.46058,10.57831,0.018,0.4033203,0.25,0.2612305,-0.1685805,0.181802,-0.5751443,27.28487,-47.88851,-0.1736421,27.48613,-48.12337,0.018,NEUTRAL
-0.4460449,-0.8352051,-0.2412109,1.570535,-0.5418625,0.06076372,-57.31653,26.34432,-1.349363,-58.73628,27.16168,0.018,-0.206543,0.5959473,0.9064941,0.03822899,-0.2512658,0.5858932,32.49161,10.58844,0.7294399,32.65954,10.77952,0.018,0.3974609,0.2507324,0.2631836,-0.03117585,0.4108096,-0.2239993,27.2935,-47.8746,-0.1776741,27.74337,-47.55534,0.018,NEUTRAL
-0.4521484,-0.8544922,-0.2421875,1.753741,-0.9235419,0.1829011,-57.31976,26.34074,-1.346071,-59.02487,26.98018,0.018,-0.2092285,0.5991211,0.9130859,0.1756335,-0.4192046,0.219481,32.49691,10.58619,0.7333906,32.6019,10.84556,0.018,0.3962402,0.2407227,0.2585449,0.4573736,0.05966461,-0.4377396,27.29502,-47.88169,-0.1855534,26.96644,-48.28201,0.018,NEUTRAL
-0.4519043,-0.8493652,-0.2397461,1.723207,-0.7861373,0.2745042,-57.32177,26.34234,-1.34113,-58.93998,27.11436,0.018,-0.2006836,0.5966797,0.9020996,0.129832,-0.6329451,0.4790229,32.50623,10.57353,0.742013,32.84834,10.51152,0.018,0.4030762,0.2446289,0.2543945,0.02989268,0.09019894,-0.2850678,27.29302,-47.89837,-0.1906847,27.16847,-48.79485,0.018,NEUTRAL
-0.4492188,-0.8398438,-0.2375488,1.906413,-0.6334655,0.1218324,-57.3163,26.34839,-1.338815,-58.82332,27.23449,0.019,-0.2028809,0.5986328,0.9213867,-0.2365803,-0.4192046,-3.337771,32.49961,10.56349,0.6785953,32.39549,10.46139,0.019,0.3999023,0.2419434,0.2561035,0.2283661,0.2428707,-0.5293427,27.29137,-47.90827,-0.2007422,26.99808,-48.6199,0.019,NEUTRAL
-0.4523926,-0.84375,-0.2485352,1.005649,-0.6639999,0.03022933,-57.32409,26.35472,-1.338301,-58.54362,27.21768,0.017,-0.2172852,0.5822754,0.9038086,-0.0686413,-0.4192046,0.311084,32.48974,10.57374,0.6838837,32.06297,11.4256,0.017,0.3986816,0.2351074,0.2617188,-0.3365195,0.1512676,-0.4835413,27.26479,-47.91906,-0.2089624,26.24238,-48.57352,0.017,NEUTRAL
-0.4506836,-0.8532715,-0.2478027,1.43313,-0.679267,-0.01557219,-57.33073,26.35355,-1.338582,-58.92015,26.89531,0.018,-0.2145996,0.5895996,0.9086914,-0.1755115,-0.08332682,0.1736794,32.48228,10.58492,0.6870099,32.27134,11.206,0.018,0.3984375,0.2470703,0.2607422,-0.3517866,0.181802,-0.3308694,27.26175,-47.91675,-0.214918,27.42339,-47.96404,0.018,NEUTRAL
-0.4594727,-0.8515625,-0.2436523,2.669772,-1.25942,-0.09190809,-57.30613,26.35138,-1.340328,-58.58615,27.41792,0.019,-0.2006836,0.6054688,0.9013672,-0.312916,0.05407774,0.03627485,32.49183,10.58365,0.6876991,33.25159,10.47115,0.019,0.3950195,0.2429199,0.2558594,0.1825645,-0.2914804,-0.04079294,27.26592,-47.92845,-0.2156931,27.30031,-48.23059,0.019,NEUTRAL
-0.456543,-0.8481445,-0.2409668,3.616336,-1.793771,0.09129799,-57.26967,26.34021,-1.338684,-58.67273,27.37476,0.018,-0.2036133,0.5961914,0.9082031,-0.5419238,0.3899556,-0.1163969,32.48527,10.59116,0.685604,32.64164,10.61518,0.018,0.3959961,0.2453613,0.2585449,0.2741675,-0.2609461,-0.2087319,27.27386,-47.93467,-0.2194503,27.42102,-48.00951,0.018,NEUTRAL
