xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,State_S2
-0.08691406,-0.1328125,-0.4460449,-0.2283282,0.09036642,0.06054974,-9.246325,5.739801,0.03590208,-16.29149,10.57826,-0.6298828,-0.4047852,0.7841797,0.3266413,-0.04251146,0.01506107,-12.10852,19.51489,0.04598919,-21.92181,35.51759,Unknown
-0.08300781,-0.1357422,-0.4462891,0.04648089,-0.1386412,0.04528236,-9.393679,5.824767,0.03658132,-16.6482,10.08997,-0.6223145,-0.4118652,0.7937012,0.3266413,0.07962596,0.1677328,-12.30581,19.82248,0.04850519,-22.21318,34.8358,Unknown
-0.08789063,-0.1362305,-0.4506836,-0.1519923,-0.4439847,0.06054974,-9.538538,5.913224,0.03748956,-16.52489,10.57395,-0.6262207,-0.4064941,0.8063965,-0.03977096,-0.05777865,0.2288015,-12.49446,20.11996,0.05193721,-21.70928,34.73918,Unknown
-0.08740234,-0.1367188,-0.449707,-0.3657329,-0.550855,0.03001523,-9.685122,5.998079,0.03790977,-16.61685,10.53386,-0.6123047,-0.4001465,0.7910156,-0.299313,0.03382444,-0.03074045,-12.68473,20.4107,0.05150684,-21.80249,34.63381,Unknown
-0.08959961,-0.1306152,-0.4360352,-0.3351984,-0.2760458,0.03001523,-9.823402,6.096779,0.03836,-16.35281,11.13602,-0.6247559,-0.4038086,0.7919922,0.1892367,0.09489316,-0.0002061129,-12.86459,20.70585,0.05150375,-21.81657,35.09824,Unknown
-0.08789063,-0.1323242,-0.4516602,-0.2130611,-0.2760458,-0.09212208,-9.95074,6.182613,0.03707029,-16.04411,10.57787,-0.6240234,-0.4006348,0.7861328,0.479313,0.06435877,-0.168145,-13.03592,20.998,0.04914972,-21.75984,35.26955,Unknown
-0.08398438,-0.138916,-0.4470215,0.4586947,0.1361679,0.1521528,-10.08465,6.26439,0.03935258,-16.9835,10.17134,-0.6254883,-0.4003906,0.7912598,0.1129008,-0.1341145,-0.07654199,-13.20656,21.28,0.04800159,-21.6514,35.19669,Unknown
-0.08447266,-0.1333008,-0.449707,0.2449541,0.3346412,-0.0005190372,-10.20444,6.347877,0.03934532,-16.242,10.20919,-0.6271973,-0.404541,0.7763672,0.3266413,0.04909158,0.1066641,-13.37923,21.56746,0.04949489,-22.06407,35.61912,Unknown
-0.08642578,-0.1394043,-0.4587402,0.2144198,0.1056336,0.3964274,-10.32995,6.426735,0.0448953,-16.62728,10.21833,-0.6096191,-0.4040527,0.7910156,0.38771,-0.08831299,0.2288015,-13.54688,21.82415,0.05269811,-22.02781,34.46279,Unknown
-0.08740234,-0.1394043,-0.4470215,0.01594663,0.01403052,-0.1531909,-10.46349,6.509838,0.013,Unknown,,-0.6271973,-0.407959,0.8103027,-0.1466411,-0.3020534,0.2898702,-13.712,22.07698,0.05646643,-21.70916,34.65808,Unknown
-0.08374023,-0.1303711,-0.4345703,-0.4115343,-0.7035267,0.4574962,-11.13462,5.644923,0.6692161,-16.41395,10.45739,-0.6281738,-0.4020996,0.7941895,0.128168,0.3697023,0.09139694,-13.69897,22.83563,0.1815888,-21.65803,35.20948,Unknown
-0.08959961,-0.135498,-0.4355469,0.1533511,-0.123374,0.1979542,-11.24876,5.752595,0.6719875,-16.94691,11.1132,-0.6276855,-0.4077148,0.7836914,0.08236647,0.2475649,-0.04600763,-13.86586,23.09022,0.1809447,-22.10016,35.39494,Unknown
-0.08569336,-0.1347656,-0.4470215,0.03121376,-0.5355878,0.1216183,-11.35322,5.838201,0.6736901,-16.49314,10.40027,-0.6271973,-0.4089355,0.7924805,0.2045038,-0.07304579,-0.1376107,-14.02633,23.3298,0.1790182,-22.02966,35.11939,Unknown
-0.08544922,-0.1350098,-0.4436035,0.2754886,-0.07757253,0.1521528,-11.45516,5.929198,0.6758203,-16.63898,10.4413,-0.6313477,-0.4086914,0.7937012,0.5709161,-0.1493817,-0.1070763,-14.17694,23.56651,0.1775191,-21.94831,35.26794,Unknown
-0.09155273,-0.1379395,-0.4460449,-0.01458788,0.2583054,-0.09212208,-11.56332,6.036047,0.6745306,-16.85338,11.09447,-0.6308594,-0.4018555,0.7888184,0.2350382,0.01855725,0.183,-14.32408,23.80492,0.1800811,-21.69532,35.47403,Unknown
-0.08276367,-0.1369629,-0.4523926,0.03121376,-0.1386412,0.0147481,-11.66331,6.112058,0.674737,-16.58403,9.931684,-0.6228027,-0.4052734,0.7897949,0.06709921,-0.1646488,0.3509389,-14.4756,24.02762,0.1849942,-21.94605,35.05298,Unknown
-0.09204102,-0.135498,-0.4499512,-0.5947404,-0.6119237,0.1063511,-11.76696,6.203064,0.6762259,-16.43764,11.08218,-0.6264648,-0.4130859,0.7956543,0.1434351,-0.02724427,-0.04600763,-14.62794,24.2456,0.1843501,-22.19118,34.94556,Unknown
-0.08691406,-0.1320801,-0.4379883,-0.3504658,-0.5050534,0.1674199,-11.86598,6.28722,0.6785698,-16.47785,10.75733,-0.626709,-0.4064941,0.7893066,-0.05503809,0.3544351,-0.1070763,-14.77545,24.46991,0.1828511,-21.96553,35.21782,Unknown
-0.08300781,-0.1325684,-0.4416504,-0.2283282,-0.2149771,-0.1837251,-11.96231,6.360937,0.6745279,-16.43609,10.20477,-0.6240234,-0.4035645,0.7922363,-0.1771755,0.03382444,0.2593359,-14.91995,24.68251,0.1885565,-21.80974,35.0634,Unknown
-0.08789063,-0.1325684,-0.4482422,-0.02985501,-0.3065802,0.1521528,-12.04715,6.442489,0.6766581,-16.18406,10.64885,-0.6223145,-0.4064941,0.7929688,-0.2535114,-0.2867863,0.2288015,-15.06428,24.88351,0.1917597,-21.96254,34.92954,Unknown
-0.08862305,-0.1323242,-0.4384766,-0.5184045,-0.6577252,0.06054974,-12.14289,6.523639,0.6775057,-16.47824,10.95121,-0.625,-0.407959,0.8061523,-0.02450383,-0.179916,0.1066641,-15.1993,25.07685,0.193253,-21.79841,34.67371,Unknown
-0.08447266,-0.1376953,-0.442627,-0.1061909,-0.3218473,-0.09212208,-12.24132,6.595304,0.676216,-16.99167,10.32768,-0.6289063,-0.4016113,0.7902832,0.3571756,-0.05777865,-0.06127481,-15.32411,25.28159,0.1923952,-21.68478,35.35362,Unknown
-0.0793457,-0.1325684,-0.4475098,-0.1214581,-0.3218473,-0.1073892,-12.32338,6.651946,0.6747126,-16.26124,9.648184,-0.6259766,-0.4052734,0.7868652,0.1434351,0.04909158,-0.06127481,-15.45471,25.48202,0.1915373,-21.95249,35.26938,Unknown
-0.08325195,-0.1298828,-0.4482422,0.229687,-0.1386412,0.2437558,-12.3918,6.719299,0.6781251,-15.90163,10.1147,-0.625,-0.4008789,0.7922363,-0.1771755,0.09489316,-0.09180916,-15.58137,25.67653,0.190252,-21.66632,35.14244,Unknown
-0.08276367,-0.137207,-0.4443359,0.3365571,0.2888396,-0.07685494,-12.47708,6.790703,0.6770492,-16.88672,10.09138,-0.6289063,-0.4067383,0.7929688,0.38771,-0.1646488,-3.725397,-15.70231,25.86494,0.1380964,-21.89422,35.21007,Unknown
-0.08642578,-0.1342773,-0.4475098,0.1533511,0.1209008,-0.04632068,-12.55374,6.866149,0.6764007,-16.41554,10.48002,-0.630127,-0.4020996,0.7871094,0.3571756,-0.2867863,0.04559542,-15.81821,26.05342,0.1387348,-21.74226,35.48577,Unknown
-0.09350586,-0.1350098,-0.4445801,0.06174803,-0.1539084,0.1979542,-12.63284,6.954288,0.679172,-16.55076,11.37872,-0.6274414,-0.4067383,0.7897949,0.1892367,-0.08831299,0.1371985,-15.93847,26.2358,0.1406555,-21.96095,35.23276,Unknown
-0.08251953,-0.1408691,-0.4521484,-0.197794,-0.2607787,0.04528236,-12.72388,7.009054,0.6798513,-17.03991,9.884242,-0.6257324,-0.4187012,0.78125,0.0976336,0.003290057,-3.71013,-16.07226,26.41553,0.08500359,-22.69983,35.21998,Unknown
-0.08496094,-0.1352539,-0.4418945,-0.1061909,-0.6882596,0.1063511,-12.80545,7.067776,0.6813402,-16.72932,10.41729,-0.6203613,-0.4074707,0.7810059,-0.02450383,0.03382444,0.1677328,-16.19558,26.59077,0.08735185,-22.22151,35.15427,Unknown
-0.08349609,-0.1386719,-0.4353027,-0.3962674,-0.3981832,-0.04632068,-12.90223,7.1281,0.6806917,-17.37286,10.35718,-0.6223145,-0.4069824,0.8032227,-0.2840458,-0.01197708,0.03032825,-16.31213,26.75177,0.08777643,-21.82794,34.64907,Unknown
-0.08032227,-0.1398926,-0.4379883,-0.2130611,-0.7187939,-0.1379237,-12.99592,7.173862,0.6787608,-17.44057,9.90927,-0.6257324,-0.3994141,0.7954102,0.3266413,0.2475649,-0.06127481,-16.41215,26.92229,0.08691859,-21.53735,35.10805,Unknown
-0.09057617,-0.1328125,-0.447998,0.2754886,0.04456491,0.06054974,-13.05628,7.250401,0.6796084,-16.20272,10.97023,-0.6235352,-0.4106445,0.7929688,0.479313,0.1406947,0.09139694,-16.52033,27.08427,0.08819815,-22.15019,34.92493,Unknown
-0.0847168,-0.1384277,-0.439209,0.3365571,0.319374,0.04528236,-13.13412,7.318564,0.6802877,-17.19577,10.42382,-0.612793,-0.4025879,0.7893066,-0.03977096,-0.179916,-0.07654199,-16.62939,27.2333,0.08705002,-21.94382,34.66781,Unknown
-0.0859375,-0.1379395,-0.4501953,0.1228168,0.1361679,-0.06158781,-13.20475,7.38093,0.6794255,-16.74994,10.34345,-0.6228027,-0.4069824,0.7841797,0.128168,-0.2257175,0.04559542,-16.73738,27.38916,0.08768836,-22.11729,35.18103,Unknown
-0.08398438,-0.1394043,-0.4572754,0.1075497,0.1514351,0.1063511,-13.2729,7.434818,0.6810207,-16.69101,9.964054,-0.6223145,-0.407959,0.7878418,0.1434351,-0.1035802,0.2898702,-16.84281,27.54079,0.09203642,-22.11402,35.0472,Unknown
-0.08398438,-0.1345215,-0.4401855,-0.3046641,-0.5966565,0.1674199,-13.3455,7.485332,0.6831972,-16.70907,10.3406,-0.6247559,-0.3916016,0.7976074,0.4029771,-0.05777865,-3.679595,-16.92346,27.69147,0.04420167,-21.13223,35.11162,Unknown
-0.08276367,-0.1367188,-0.4404297,-0.2588627,-0.5050534,0.06054974,-13.42146,7.532185,0.6840449,-16.96597,10.17443,-0.6306152,-0.4006348,0.7954102,0.1129008,0.07962596,-0.03074045,-17.01422,27.84476,0.04377131,-21.53863,35.30122,Unknown
-0.08056641,-0.135498,-0.4404297,0.06174803,-0.4897862,0.06054974,-13.48887,7.572689,0.6849532,-16.83729,9.917335,-0.6259766,-0.4084473,0.7832031,-0.03977096,0.3544351,-0.09180916,-17.11782,27.99956,0.04239417,-22.16493,35.32412,Unknown
-0.08886719,-0.1364746,-0.4453125,-0.01458788,-0.1386412,-0.1226563,-13.55385,7.635379,0.6832359,-16.72779,10.80231,-0.626709,-0.3918457,0.7780762,-0.1466411,0.2475649,4.060863,-17.20578,28.15757,0.09924625,-21.41538,35.73063,Unknown
